Column12;Column2;Column3;Column4
B.02.a.05;Descriptor;Resilience;The quality of recovering from difficulties or changes one has had to face, to bounce back and then move forward.
B.02.b;Similarity Group;Self-Reflective Orientation;
B.02.b.01;Descriptor;Self-Awareness;The quality of being aware of oneâ€™s own personality, character and feelings including strengths, weaknesses, thoughts, behaviors, beliefs, motivation and emotions.
B.02.b.02;Descriptor;Self-Confidence;The quality of trust in oneâ€™s ability to achieve goals, believing in oneâ€™s potential and abilities and knowing that one is capable of achieving goals when facing challenges. 
B.02.c;Similarity Group;Learning Orientation;
B.02.c.01;Descriptor;Active Learning;The quality of proactively looking to understand the implications of new information in the current and changing workplace.
B.02.c.02;Descriptor;Continuous Learning;The quality of developing and improving oneâ€™s skills, abilities, and knowledge over time to adapt to changes and work effectively. 
B.03;Sub-Category;Results-Based Attributes;The personal characteristics related to the drivers around bringing things to completion.
B.03.a;Similarity Group;Action-Oriented;
B.03.a.01;Descriptor;Achievement;The quality of establishing and maintaining goals and exerting all effort to accomplish them successfully.
B.03.a.02;Descriptor;Initiative;The quality of taking on responsibilities and challenges and proposing, doing or organizing something by oneself without being prompted by others.
B.03.a.03;Descriptor;Motivation;The quality of being driven by interest, need, reason or reward to achieve something or to reach a set outcome.
B.03.a.04;Descriptor;Perseverance;The quality of voluntarily and deliberately putting forth the effort required by a task or activity despite difficulties, failure or obstacles.
B.03.a.05;Descriptor;Risk-Taking;The quality of being willing to make a risky choice, with regard for the consequences, in the hope of achieving a desired results or benefit in return.
B.03.a.06;Descriptor;Competitiveness;The quality of being driven by a deep desire to be as good as or better than others to perform well in a comparable context.
B.03.a.07;Descriptor;Independence;The quality of developing one's own way of doing things, guiding oneself with little or no supervision and depending on oneself to get things done.
B.04;Sub-Category;Professional Conscientiousness;The personal characteristics related to the drivers around fulfilling commitments. 
B.04.a;Similarity Group;Sense of Responsibility;
B.04.a.01;Descriptor;Reliability;The quality of being dependable and respectful of commitments.
B.04.a.02;Descriptor;Integrity;The quality of being honest, ethical and authentic.
B.04.a.03;Descriptor;Being Responsible;The quality of taking responsibility for oneâ€™s own actions and the actions of a group.
B.05;Sub-Category;Dynamic Thinking;The personal characteristics related to bubbling ideas and critical thinking. 
B.05.a;Similarity Group;Practical Thinking;
B.05.a.01;Descriptor;Having Judgement;The quality of forming an opinion consistent with common sense based on an assessment of an event or fact.
B.05.a.02;Descriptor;Analytical Thinking;The quality of analyzing information and using logic to address issues and problems.
B.05.a.03;Descriptor;Attention to Detail;The quality of being meticulous in the execution of tasks. 
B.05.b;Similarity Group;Unconventional Thinking;
B.05.b.01;Descriptor;Creativity;The quality of coming up with unusual or clever ideas about a given topic or situation, or to develop original ways to solve a problem.
B.05.b.02;Descriptor;Innovativeness;The quality of alternative thinking to develop new products or services to make improvement or to develop a new approach.
B.05.b.03;Descriptor;Entrepreneurial Spirit;The quality of identifying and seizing opportunities and moving from idea to achievement.
C;Category;Interests;Occupation-related interests based on dominant activities and type of work.
C.01;Sub-Category;Holland Codes;Holland codes, also referred to as RIASEC codes, refer to John L. Holland's six interest personality types. Each of them are characterized by the dominant activities, preferences and interests most often expected.
C.01.a;Similarity Group;Interests - Holland Codes;
C.01.a.01;Descriptor;Realistic;Realistic occupations are characterized by the dominance of activities that entail the explicit, ordered or systematic manipulation of objects, tools, machines and animals. Many of these occupations do not involve a lot of paperwork or working closely with others.
C.01.a.02;Descriptor;Investigative;Investigative occupations are characterized by the dominance of activities that entail the observation and systematic or creative investigation of physical, biological or cultural phenomena. These occupations require an extensive amount of thinking and frequently involve working with ideas, searching for facts and figuring out problems mentally.
C.01.a.03;Descriptor;Artistic;Artistic occupations are characterized by the dominance of activities that entail artistic expression to create, compose or produce visual, performing, literary or applied art. These occupations frequently involve working with forms, designs and patterns and often require self-expression and the accomplishment of work without following a clear set of rules.
C.01.a.04;Descriptor;Social;Social occupations are characterized by the dominance of activities that entail the interaction with others to inform, train, aid, develop, cure or enlighten. These occupations often involve helping or providing service to others, teaching, working or communicating with people.
C.01.a.05;Descriptor;Enterprising;Enterprising occupations are characterized by the dominance of action-oriented activities to attain organizational or self-interest goals. They frequently involve starting up and carrying out projects, influencing, leading or mobilizing people, making decisions and sometimes require risk taking and dealing with business.
C.01.a.06;Descriptor;Conventional;Conventional occupations are characterized by the dominance of activities that entail following sets of procedures and routines. These activities may include systematic manipulation of data, such as keeping records, filing materials, reproducing materials, organizing written and numerical data according to a prescribed plan and operating business and data processing. They often require following a clear line of authority and usually involve working with data and details more than with ideas.
F;Category;Skills;Developed capabilities that an individual must have to be effective in a job, role, function, task or duty.
F.01;Sub-Category;Foundational Skills;Developed capabilities that facilitate the more rapid acquisition of other skills and knowledge.
F.01.a;Similarity Group;Verbal Skills;
F.01.a.01;Descriptor;Oral Communication: Active Listening;The capability to give full attention to what other people are saying, take time to understand the points being made, ask questions as appropriate and not interrupt at inappropriate times.
F.01.a.02;Descriptor;Oral Communication: Oral Comprehension;The capability to listen to and understand information and ideas presented through spoken words and sentences.
F.01.a.03;Descriptor;Oral Communication: Oral Expression;The capability to talk to others to convey information effectively.
F.01.b;Similarity Group;Reading and Writing Skills;
F.01.b.01;Descriptor;Reading Comprehension;The capability to understand written information presented through words, sentences, paragraphs, symbols and images in work-related documents.
F.01.b.02;Descriptor;Writing;The capability to communicate in writing by using written words, sentences, paragraphs, symbols and images adapted for the needs of the audience.
F.01.c;Similarity Group;Mathematical Skills;
F.01.c.01;Descriptor;Numeracy;The capability to understand, use and report numbers and other mathematical information presented through words, numbers, symbols and graphics.
F.01.c.02;Descriptor;Digital Literacy;The capability to understand and use digital devices and tools to obtain, exchange, create or process digital information in a secure manner.
F.02;Sub-Category;Analytical Skills;Developed capabilities that people need to process information and data logically to produce useable results.
F.02.a;Similarity Group;Process Analysis Skills;
F.02.a.01;Descriptor;Critical Thinking;The capability to use logic and reasoning to question, discern, interpret and analyze various types of information to form an evidence-based conclusion or judgment.
F.02.a.02;Descriptor;Learning and Teaching Strategies;The capability to select and use training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
F.02.a.03;Descriptor;Decision Making;The capability to assess feasible solutions or options and determine the most appropriate choice based on anticipated outcomes and alignment with objectives.
F.02.b;Similarity Group;Operations and Systems Analysis Skills;
F.02.b.01;Descriptor;Evaluation;The capability to identify and systematically apply criteria, indicators and measurement tools at defined intervals to assess the effectiveness, value, impact or performance of products, services, processes, programs or policies.
F.02.b.02;Descriptor;Requirements Analysis;The capability to analyze needs and product requirements to create a design. 
F.02.b.03;Descriptor;Systems Analysis;The capability to determine how a system should work and how changes in conditions, operations and the environment will affect outcomes.
F.02.b.04;Descriptor;Researching and Investigating;The capability to conduct studies and to examine information and data to increase knowledge, understand facts, find causes, test hypotheses and draw conclusions or make recommendations.
F.02.b.05;Descriptor;Problem Solving;The capability to analyze information related to problems to develop feasible solutions or options to eliminate or mitigate the problem.
F.03;Sub-Category;Technical Skills;Developed capabilities that relate to the practical or mechanical side of an activity, the application of a set of technical processes and required know-how.
F.03.a;Similarity Group;Technical Skills;
F.03.a.01;Descriptor;Equipment and Tool Selection;The capability to choose between two or more types of tools, equipment or machinery to perform a job.
F.03.a.02;Descriptor;Preventative Maintenance;The capability to perform maintenance on equipment, devices, building or machinery to keep them in functional and to prevent damage or failures.
F.03.a.03;Descriptor;Setting Up;The capability to set up, adjust, install and assemble equipment, machines, parts or to prepare them for their functioning and use.
F.03.a.04;Descriptor;Operation and Control;The capability to maneuver and control operations of equipment, machines, vehicles or systems.
F.03.a.05;Descriptor;Operation Monitoring of Machinery and Equipment;The capability to watch gauges, dials, digital displays or other indicators to ensure a machine or piece of equipment is working according to specifications.
F.03.a.06;Descriptor;Troubleshooting;The capability to determine causes of operating errors in equipment, machinery or technological systems and decide how to resolve the issues.
F.03.a.07;Descriptor;Repairing;The capability to replace, restore or adjust defective or deficient components in equipment, machines and technical systems and test for function, appearance, operation and safety.
F.03.a.08;Descriptor;Quality Control Testing;The capability to conduct tests or inspections of prototypes, products, services or processes to ensure their quality.
F.03.a.09;Descriptor;Product Design;The capacity to design and develop layouts for the construction of objects, equipment, machinery, structures or engineering systems (excluding software and hardware).
F.03.a.10;Descriptor;Digital Systems Production;The capability to design, develop, adapt, or integrate hardware, software, applications, electronic devices or digital technologies, while ensuring compliance with cybersecurity standards and best practices.
F.04;Sub-Category;Resource Management Skills;Developed capabilities to plan, organize, monitor or control the resources to achieve goals.
F.04.a;Similarity Group;Resource Management Skills;
F.04.a.01;Descriptor;Management of Financial Resources;The capability to plan, organize, direct, control or monitor financial resources and activities and account for the use of theses resources to ensure their utilization are conform to the objectives and purposes.
F.04.a.02;Descriptor;Management of Material Resources;The capability to plan and manage the purchase, inventory, warehousing, transportation or distribution of products or materials and their use.
F.04.a.03;Descriptor;Management of Personnel Resources;The capability to recruit, train, motivate, develop and direct employees, identify the best person for the tasks to be performed and establish their work objectives in relation to the objectives of the organization.
F.04.b;Similarity Group;Planning Skills;
F.04.b.01;Descriptor;Operational Planning;The capability to determine phases and steps, define activities and tasks and establish schedules to complete objectives on time and within budget.
F.04.b.02;Descriptor;Projecting Outcomes;The capability to estimate, predict and forecast results and outcomes of an action or a series of actions based on data and indicators.
F.04.b.03;Descriptor;Risk Management;The capability to identify and assess risks and determine procedures to be followed to reduce or avoid their impact.
F.04.b.04;Descriptor;Strategic Planning;The capability to set goals according to the organization's needs and to develop strategies and action plans to achieve them.
F.04.b.05;Descriptor;Time Management;The capability to manage one's own time and the time of others.
F.04.c;Similarity Group;Monitoring;
F.04.c.01;Descriptor;Monitoring;The capability to regularly observe and collect data or information to track the status of projects, programs, products, policies, people conditions, equipment, events or environments to identify emerging issues, deviations or risks that require timely attention or corrective action.
F.04.d;Similarity Group;Change Management and Crisis Management Skills;
F.04.d.01;Descriptor;Change Management;The capability to plan and implement strategies for effecting change, communicate the effects of change and provide guidance and support to those affected by change.
F.04.d.02;Descriptor;Crisis Management;The capability to establish a response plan for emergencies, to apply it and adapt it to situations while limiting the impact on people, customers, employees and the organisation.
F.05;Sub-Category;Interpersonal Skills;Developed capabilities used to work with people to achieve goals.
F.05.a;Similarity Group;Interpersonal Skills;
F.05.a.01;Descriptor;Coordinating;The capability to organize people or groups by adjusting activities in relation to others' activities so that they work effectively as a whole.
F.05.a.02;Descriptor;Instructing;The capability to teach others knowledge or how to do something.
F.05.a.03;Descriptor;Negotiating;The capability to participate in or facilitate communication between parties in order to resolve differences and reach a mutually acceptable or viable agreement.
F.05.a.04;Descriptor;Persuading;The capability to convince others to change their minds, beliefs, intentions or behaviours.
F.05.a.05;Descriptor;Social Perceptiveness;The capability to be aware of others' reactions, unspoken communication, body language cues and feelings and discern the reasons behind their behaviours.
F.05.a.06;Descriptor;Cross-Cultural Sensitivity;The capability to communicate, interact and work appropriately with people from different cultural backgrounds, in recognition that diversity is being both between and within cultural groups and can be expressed in customs, values and ways of thinking and acting.
F.05.a.07;Descriptor;Managing Conversation;The capability to lead and facilitate dialogue between two or more people.
G;Category;Knowledge;Organized sets of principles and practices used for the execution of tasks and activities within a particular domain.
G.01;Sub-Category;Administration and Management;Organized set of principles and practices relating to administration and management domains. 
G.01.a;Similarity Group;Administration and Management;
G.01.a.01;Descriptor;Accounting;Knowledge of concepts, principles, methods and practices for budgeting, storing, tracking, controlling, analyzing and reporting on financial transactions.
G.01.a.02;Descriptor;Business Management;Knowledge of concepts, principles and practices of managing business operations such as strategic planning, resource allocation, production management and coordination of people and activities.
G.01.a.03;Descriptor;Clerical;Knowledge of administrative concepts, principles, methods, procedures and practices for the functioning of the daily office operations.
G.01.a.04;Descriptor;Finance;Knowledge of concepts, principles, methods and practices related to financial operations, systems and institutions.
G.01.a.05;Descriptor;Human Resources and Labour Relations;Knowledge of concepts, principles, procedures and practices for personnel recruitment, selection, hiring, training policies, deploying, compensation and benefits, labour relations and negotiation and personnel information systems.
G.01.a.06;Descriptor;Sales and Marketing;Knowledge of concepts, principles, techniques, practices and tools for determining consumer behaviour and needs, developing business opportunities and promoting and selling products and services.
G.01.a.07;Descriptor;Client Service;Knowledge of concepts, principles and practices of providing services and support to satisfy clients' requirements and needs.
G.02;Sub-Category;Communication;Organized set of principles and practices relating to communication domains.
G.02.a;Similarity Group;Communication;
G.02.a.01;Descriptor;Communications and Media;Knowledge of concepts, principles, methods and techniques for the creation, production, distribution or dissemination of written, oral, audiovisual or visual communications to a targeted audience.
G.03;Sub-Category;Education;Organized set of principles and practices relating to education domains.
G.03.a;Similarity Group;Education;
G.03.a.01;Descriptor;Teaching;Knowledge of the concepts, principles, methods and practices of instructing individuals and groups, designing educational curriculum and measuring learning outcome.
G.03.a.02;Descriptor;Training, Mentoring and Coaching;Knowledge of concepts and principles of learning and readiness to learn, and of methods for guiding, advising, directing and supporting career or personal goals for the individuals or groups to gain experience and improve competencies.
G.04;Sub-Category;Health and Wellbeing;Organized set of principles and practices relating to health and wellbeing domains.
G.04.a;Similarity Group;Health and Wellbeing;
G.04.a.01;Descriptor;Hospitality;Knowledge of concepts, principles, techniques and tools or equipment for managing facilities and providing food, accommodation or tourism services with the focus on client experience.
G.04.a.02;Descriptor;Mental Health;Knowledge of concepts, principles, methods and procedures for assessment, diagnosis, treatment, rehabilitation, counseling or guidance to address neurological and cognitive processes, behaviours and disorders or to maintain balanced mental health and well-being.
G.04.a.03;Descriptor;Personal Services;Knowledge of concepts, principles, techniques and tools for providing services of personal nature related to body care, childcare and other in-home services.
G.04.a.04;Descriptor;Physical Health;Knowledge of concepts and principles of the human anatomy, organic systems, biomedical sciences, genetics, and of procedures, techniques and tools needed to diagnose and treat injuries and diseases, to restore and maintain physical health by the prevention and treatment.
G.04.a.05;Descriptor;Recreation, Leisure and Fitness;Knowledge of concepts, principles, practices, and equipment for physical fitness and for managing and providing recreational, leisure and fitness program or services.
G.04.a.06;Descriptor;Veterinarian and Animal Care;Knowledge of concepts, principles, practices, techniques and tools for the prevention, care, diagnostics, and treatment of diseases, disorders and injuries, and the maintenance of wellbeing of animals.
G.05;Sub-Category;Law, Government and Safety;Organized set of principles and practices relating to law, government and safety.
G.05.a;Similarity Group;Law, Government and Safety;
G.05.a.01;Descriptor;Military;Knowledge of organisations, structures, practices and strategies related to defence, security, intelligence and peacekeeping missions.
G.05.a.02;Descriptor;Law;Knowledge of concepts, principles, operations and processes of the municipal, provincial-territorial, federal or international legal systems for the establishment, implementation and application of laws, legal codes and documents and court procedures.
G.05.a.03;Descriptor;Public Affairs and Government Relations;Knowledge of concepts, principles, processes and functioning of governments and political systems for the establishment and implementation of policies, regulations and legislations.
G.05.a.04;Descriptor;Public Safety and Security;Knowledge of concepts, principles, regulations, procedures and practices related to public safety and security operations and systems for the protection of people, data, goods, properties and infrastructure.
G.06;Sub-Category;Logistics, Design and Evaluation;Organized set of principles and practices relating to logistics, design and evaluation domains.
G.06.a;Similarity Group;Logistics, Design and Evaluation;
G.06.a.01;Descriptor;Manufacturing, Processing and Production;Knowledge of concepts, principles, methods and techniques of production and transformation, including manual and mechanical processes.
G.06.a.02;Descriptor;Logistics;Knowledge of concepts, principles, infrastructures and processes for planning, organizing and coordinating activities to ensure efficient management of resources and services as well as optimal movement of people, animals and goods.
G.06.a.03;Descriptor;Performance Measurement;Knowledge of concepts, principles, methods, practices and strategies of monitoring the development, delivery and quality of products, programs or services.
G.06.a.04;Descriptor;Technical Design;Knowledge of technical design concepts, principles, methods, techniques and tools involved in the creation and production of technical plans, blueprints, drawings or models.
G.07;Sub-Category;Natural Resources;Organized set of principles and practices relating to natural resources domains.
G.07.a;Similarity Group;Natural Resources;
G.07.a.01;Descriptor;Agronomy and horticulture ;Knowledge of concepts, principles, techniques, materials and equipment for planting, growing, harvesting, storing or preserving plants and plant products.
G.07.a.02;Descriptor;Forestry;Knowledge of concepts, principles, techniques, materials and equipment for sourcing, processing, managing, monitoring, preserving and conserving forest resources.
G.07.a.03;Descriptor;Geological Resources;Knowledge of concepts, principles, techniques, materials and equipment for sourcing, processing, managing, monitoring, conserving or preserving natural resources such as minerals, metals, oil, natural gas, coal and other geological materials.
G.07.a.04;Descriptor;Livestock, Farm Animals and  Wildlife;Knowledge of the concepts, principles, techniques, materials and equipment used in sourcing, raising, fishing, hunting, managing or monitoring livestock, farm animals and wildlife to support sustainable animal resource and ensure the preservation of biodiversity.
G.07.a.05;Descriptor;Water Resources;Knowledge of concepts, principles, techniques, materials and equipment for sourcing, processing, managing, monitoring or preserving water resources such as rivers, lakes, oceans and underground aquifers.
G.08;Sub-Category;Physical Sciences;Organized set of principles and practices relating to physical sciences domains.
G.08.a;Similarity Group;Physical Sciences;
