Code,Structure Type,English Name,French Name,Language ID,Alternative Title text
F04d02,Descriptor,Crisis Management,Gestion de crise,,
F05,Sub-Category,Interpersonal Skills,Compétences interpersonnelles,,
F05a,Similarity Group,Interpersonal Skills,Compétences interpersonnelles,,
F05a01,Descriptor,Coordinating,Coordination,,
F05a02,Descriptor,Instructing,Instruire,,
F05a03,Descriptor,Negotiating,Négociation,,
F05a04,Descriptor,Persuading,Persuasion,,
F05a05,Descriptor,Social Perceptiveness,Perception sociale,,
F05a06,Descriptor,Cross-Cultural Sensitivity,Sensibilité interculturelle,13,Cross-Cultural Sensitivity
,,,,18,Sensibilité interculturelle
,,,,13,Cultural intelligence
,,,,13,Worldview-inclusive attitude
,,,,18,Citoyen éthique
,,,,18,Compétence interculturelle
F05a07,Descriptor,Managing Conversation,Gestion de conversations,18,Animateur
,,,,13,Facilitator
,,,,18,Facilitateur
G,Category,Knowledge,Connaissances,,
G01,Sub-Category,Administration and Management,Administration et gestion,,
G01a,Similarity Group,Administration and Management,Administration et gestion,,
G01a01,Descriptor,Accounting,Comptabilité,,
G01a02,Descriptor,Business Management,Gestion des affaires,,
G01a03,Descriptor,Clerical,Travail de bureau,,
G01a04,Descriptor,Finance,Finance,,
G01a05,Descriptor,Human Resources and Labour relations,Ressources humaines et relations de travail,,
G01a06,Descriptor,Sale and Marketing,Vente et Marketing,,
G01a07,Descriptor,Client Service,Services aux clients,,
G02,Sub-Category,Communication,Communication,,
G02a,Similarity Group,Communication,Communication,,
G02a01,Descriptor,Communications and Media,Communications et médias,,
G03,Sub-Category,Education,Éducation,,
G03a,Similarity Group,Education,Éducation,,
G03a01,Descriptor,Teaching,Enseignement,,
G03a02,Descriptor,"Training, Mentoring and Coaching","Formation, mentorat et encadrement",,
G04,Sub-Category,Health and Wellbeing,Santé et bien-être,,
G04a,Similarity Group,Health and Wellbeing,Santé et bien-être,,
G04a01,Descriptor,Hospitality,Hospitalité,,
G04a02,Descriptor,Mental Health,Santé mentale,,
G04a03,Descriptor,Personal Services,Services personnels,,
G04a04,Descriptor,Physical Health,Santé physique,,
G04a05,Descriptor,"Recreation, Leisure and Fitness","Récréation, loisirs et exercices physiques",,
G04a06,Descriptor,Veterinarian and Animal Care,Vétérinaire et soins aux animaux,,
G05,Sub-Category,"Law, Government and Safety","Droit, gouvernement et sécurité",,
G05a,Similarity Group,"Law, Government and Safety","Droit, gouvernement et sécurité",,
G05a01,Descriptor,Military,Militaire,,
G05a02,Descriptor,Law,Droit,,
G05a03,Descriptor,Public Affairs and Government Relations,Affaires publiques et relations gouvernementales,,
G05a04,Descriptor,Public Safety and Security,Sûreté et sécurité publique,,
G06,Sub-Category,"Logistics, Design and Evaluation","Logistique, conception et évaluation",,
G06a,Similarity Group,"Logistics, Design and Evaluation","Logistique, conception et évaluation",,
G06a01,Descriptor,"Manufacturing, Processing and Production",Fabrication et production,,
G06a02,Descriptor,Logistics,Logistique,,
G06a03,Descriptor,Performance Measurement,Mesure de la performance,,
G06a04,Descriptor,Technical Design,Conception technique,,
G07,Sub-Category,Natural Resources,Ressources naturelles,,
G07a,Similarity Group,Natural Resources,Ressources naturelles,,
G07a01,Descriptor,Agriculture and Horticulture,Agriculture et horticulture,,
G07a02,Descriptor,Forestry,Foresterie,,
G07a03,Descriptor,Geological Resources,Ressources géologiques,,
G07a04,Descriptor,"Livestock, Farm Animals & Wildlife","Animaux d’élevage, de basse-cour et de faune sauvage",,
G07a05,Descriptor,Water Resources,Ressources aquatiques,,
G08,Sub-Category,Physical Sciences,Sciences physiques,,
G08a,Similarity Group,Physical Sciences,Sciences physiques,,
G08a01,Descriptor,Biology,Biologie,,
G08a02,Descriptor,Chemistry,Chimie,,
G08a03,Descriptor,Geoscience,Géoscience,,
G08a05,Descriptor,Physics,Physique,,
G09,Sub-Category,Socioeconomic Systems,Systèmes socio-économiques,,
G09a,Similarity Group,Socioeconomic systems,Systèmes socio-économiques,,
G09a01,Descriptor,Arts,Arts,,
G09a02,Descriptor,Economics,Économie,,
G09a03,Descriptor,Humanities,Sciences humaines,,
G09a04,Descriptor,"Library, Conservation, and Heritage","Bibliothèque, conservation et patrimoine",,
G09a05,Descriptor,Theology and Philosophy,Théologie et philosophie,,
G10,Sub-Category,"Technology, Electrical, Material and Mechanical","Technologie, électricité, matériaux et mécanique",,
G10a,Similarity Group,"The Technology, Electrical, Material and Mechanical","La Technologie, électricité, matériaux et mécanique",,
G10a01,Descriptor,Building and Construction,Bâtiment et construction,,
G10a02,Descriptor,"Computer, Technology and Information Systems","Informatique, technologie et systèmes d'information",,
G10a03,Descriptor,Electrical and Electronics,Électricité et électronique,,
G10a04,Descriptor,Mechanics and Machinery,Mécanique et machines,,
G10a05,Descriptor,Telecommunications,Télécommunications,,
G10a06,Descriptor,"Vehicle, Machinery and Equipment Operations","Exploitation de véhicules, de machinerie et d'équipement",,
G11,Sub-Category,Foundational Knowledge,Connaissances fondamentales,,
G11a,Similarity Group,Foundational Knowledge,Connaissances fondamentales,,
G11a01,Descriptor,Languages,Langues,,
G11a02,Descriptor,Mathematics,Mathématiques,,
J,Category,Work Context,Contexte de travail,,
J01,Sub-Category,Structural Job Characteristics,Caractéristiques structurelles de l’emploi,,
J01a,Similarity Group,Criticality of Position,Caractère critique de la position,,
J01a01,Descriptor,Consequence of Error,Conséquence des erreurs,,
J01a02,Descriptor,Freedom to Make Decisions,Liberté décisionnelle,,
J01a03,Descriptor,Frequency of Decision Making,Fréquence de la prise de décisions,,
J01a04,Descriptor,Impact of Decisions,Incidence des décisions,,
J01b,Similarity Group,Various Challenge Types,Différents types de défis,,
